City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain L3H,Snow L3H
171,Chokurdakh,RU,70.62,147.9,6.53,94,100,9.82,overcast clouds,0.0,0.0
172,Khorramshahr,IR,30.43,48.18,71.6,43,0,7.99,clear sky,0.0,0.0
173,Torbay,CA,47.66,-52.73,41.0,55,75,9.17,broken clouds,0.0,0.0
174,Natal,BR,-5.81,-35.21,86.0,62,40,17.22,scattered clouds,0.0,0.0
175,Mehndawal,IN,26.98,83.11,72.72,52,0,5.59,clear sky,0.0,0.0
176,Te Anau,NZ,-45.41,167.72,40.39,91,96,4.76,overcast clouds,0.0,0.0
177,Lebu,ET,8.96,38.73,62.6,55,75,9.17,broken clouds,0.0,0.0
178,Praia,BR,-20.25,-43.81,96.8,30,40,4.7,scattered clouds,0.0,0.0
179,Quatre Cocos,MU,-20.21,57.76,73.99,83,40,6.93,scattered clouds,0.0,0.0
180,Zhanaozen,KZ,43.35,52.85,51.26,36,25,15.86,scattered clouds,0.0,0.0
181,Upata,VE,8.02,-62.41,89.01,67,87,1.01,overcast clouds,0.0,0.0
182,Grindavik,IS,63.84,-22.43,44.6,87,90,38.03,light rain,0.0,0.0
183,Winslow,GB,51.94,-0.88,44.01,93,20,2.24,fog,0.0,0.0
184,Dedovichi,RU,57.55,29.95,49.5,97,100,5.19,light rain,0.44,0.0
185,Guayaramerin,BO,-10.82,-65.36,87.8,62,40,10.29,scattered clouds,0.0,0.0
186,Talnakh,RU,69.49,88.39,-14.81,83,86,4.47,overcast clouds,0.0,0.0
187,Chuy,UY,-33.69,-53.46,70.21,65,0,13.42,clear sky,0.0,0.0
188,Souillac,FR,45.6,-0.6,46.4,81,17,6.93,few clouds,0.0,0.0
189,Tuatapere,NZ,-46.13,167.69,45.0,86,100,1.01,overcast clouds,0.06,0.0
190,Palanpur,IN,24.17,72.44,76.6,60,0,1.12,clear sky,0.0,0.0
191,Bethel,US,60.79,-161.76,35.6,87,90,11.41,light rain,0.0,0.0
192,Turukhansk,RU,65.8,87.96,-14.79,98,100,2.75,light snow,0.0,0.13
193,Misratah,LY,32.38,15.09,69.21,51,0,13.71,clear sky,0.0,0.0
194,Hasaki,JP,35.73,140.83,55.4,76,75,6.93,broken clouds,0.0,0.0
195,Georgetown,GY,6.8,-58.16,87.8,66,40,16.11,scattered clouds,0.0,0.0
196,Vila Velha,BR,-3.71,-38.6,87.8,55,20,18.34,few clouds,0.0,0.0
197,Los Llanos De Aridane,ES,28.66,-17.92,68.0,88,75,9.17,broken clouds,0.0,0.0
198,Visby,SE,57.64,18.3,39.0,93,90,9.17,overcast clouds,0.0,0.0
199,Paraiso,BR,-0.03,-51.17,95.0,47,40,13.87,scattered clouds,0.0,0.0
200,Narsaq,GL,60.91,-46.05,41.0,56,31,10.29,scattered clouds,0.0,0.0
201,Mbini,GQ,1.58,9.62,82.4,83,20,6.93,thunderstorm,0.0,0.0
202,Arkadelphia,US,34.12,-93.05,69.01,59,1,4.7,clear sky,0.0,0.0
203,Lubango,AO,-14.92,13.49,68.0,77,40,6.93,scattered clouds,0.0,0.0
204,San Antonio,CL,-33.58,-71.61,57.2,100,90,10.29,mist,0.0,0.0
205,Copiapo,CL,-27.37,-70.33,68.0,56,20,9.17,few clouds,0.0,0.0
206,Byron Bay,AU,-28.65,153.62,62.01,87,90,2.55,overcast clouds,0.0,0.0
207,Yerbogachen,RU,61.28,108.01,-8.65,95,100,7.45,light snow,0.0,0.13
208,Pacific Grove,US,36.62,-121.92,63.0,76,75,5.82,broken clouds,0.0,0.0
209,Kruisfontein,ZA,-34.0,24.73,64.29,86,97,18.32,overcast clouds,0.0,0.0
210,Cheyenne,US,41.14,-104.82,59.0,26,1,19.3,clear sky,0.0,0.0
211,Talpa,MX,28.83,-111.63,82.99,41,90,6.22,overcast clouds,0.0,0.0
212,Nome,US,30.04,-94.42,73.99,53,1,4.7,clear sky,0.0,0.0
213,Buala,SB,-8.15,159.59,79.34,83,95,5.77,light rain,0.37,0.0
214,Guacimo,CO,8.09,-76.36,86.0,74,40,9.17,scattered clouds,0.0,0.0
215,Bouar,CF,5.94,15.59,72.14,66,94,4.97,overcast clouds,0.0,0.0
216,Romny,UA,50.74,33.49,50.79,81,99,12.12,overcast clouds,0.0,0.0
217,Khani,GE,41.96,42.96,66.2,29,0,11.41,clear sky,0.0,0.0
218,Glamoc,BA,44.05,16.85,37.63,98,69,4.47,broken clouds,0.0,0.0
219,Guerrero Negro,MX,27.97,-114.04,73.33,56,99,10.76,overcast clouds,0.0,0.0
220,Malmesbury,GB,51.58,-2.1,44.01,93,99,2.24,overcast clouds,0.0,0.0
221,Yellowknife,CA,62.45,-114.38,3.99,83,20,2.21,few clouds,0.0,0.0
222,Hobart,AU,-42.88,147.33,53.6,62,78,6.93,broken clouds,0.0,0.0
223,Saint George,GR,39.45,22.34,60.8,59,20,4.7,few clouds,0.0,0.0
224,Spring Hill,US,28.46,-82.54,80.01,60,1,5.82,clear sky,0.0,0.0
225,Hornepayne,CA,49.22,-84.78,14.05,62,100,9.64,overcast clouds,0.0,0.0
226,San Carlos De Bariloche,AR,-41.13,-71.31,75.2,19,20,8.05,few clouds,0.0,0.0
227,Waycross,US,31.21,-82.35,66.99,23,1,4.7,clear sky,0.0,0.0
228,Elliot Lake,CA,46.37,-82.65,30.2,86,90,8.05,light snow,0.0,0.0
229,Atchison,US,39.56,-95.12,57.99,53,1,9.17,clear sky,0.0,0.0
230,Saint-Philippe,CA,45.36,-73.48,43.0,45,75,10.29,broken clouds,0.0,0.0
231,Demba,CD,-5.47,22.27,73.8,90,76,2.86,light rain,2.0,0.0
232,La Reforma,MX,25.08,-108.06,89.01,58,40,9.17,scattered clouds,0.0,0.0
233,Tazovskiy,RU,67.47,78.7,1.47,92,98,18.1,overcast clouds,0.0,0.0
234,Muisne,EC,0.61,-80.02,80.6,83,75,10.29,broken clouds,0.0,0.0
235,Norton Shores,US,43.17,-86.26,43.0,75,90,3.36,overcast clouds,0.0,0.0
236,Griffith,AU,-34.29,146.06,50.0,76,58,3.71,broken clouds,0.0,0.0
237,Solnechnyy,RU,50.72,136.64,22.89,71,90,2.24,overcast clouds,0.0,0.0
238,Along,IN,28.17,94.8,61.39,94,100,2.62,light rain,0.13,0.0
239,Dongying,CN,37.43,118.67,50.76,34,0,6.08,clear sky,0.0,0.0
240,Acapulco,MX,16.86,-99.88,87.8,70,5,3.36,clear sky,0.0,0.0
241,Mount Isa,AU,-20.73,139.49,68.0,14,75,6.93,broken clouds,0.0,0.0
242,Ketchikan,US,55.34,-131.65,46.4,93,90,18.34,overcast clouds,0.0,0.0
243,Karatuzskoye,RU,53.61,92.87,16.7,68,100,3.69,overcast clouds,0.0,0.0
244,Ancud,CL,-41.87,-73.83,66.2,55,81,9.17,broken clouds,0.0,0.0
245,Tigil,RU,57.8,158.67,28.98,96,73,10.25,broken clouds,0.0,0.0
246,Laguna,BZ,16.17,-88.94,84.2,66,40,4.7,scattered clouds,0.0,0.0
247,Itarema,BR,-2.92,-39.92,89.17,49,67,15.35,broken clouds,0.0,0.0
248,Turan,RU,52.15,93.92,14.29,66,100,4.0,overcast clouds,0.0,0.0
249,Kozhva,RU,65.11,57.05,15.71,93,100,11.39,light snow,0.0,0.75
250,Cayenne,GF,4.94,-52.33,89.6,62,100,11.41,overcast clouds,0.0,0.0
251,Hirara,JP,24.8,125.28,72.43,57,2,9.75,clear sky,0.0,0.0
252,Nadvoitsy,RU,63.89,34.27,33.19,98,100,5.55,light snow,0.0,0.56
253,Taywarah,AF,33.35,64.42,34.72,35,43,2.95,scattered clouds,0.0,0.0
254,Muli,CN,28.08,109.56,57.13,58,29,1.25,scattered clouds,0.0,0.0
255,Hamilton,CA,43.26,-79.87,48.0,86,90,13.87,overcast clouds,0.0,0.0
256,Coquimbo,CL,-29.95,-71.34,84.0,77,90,9.17,overcast clouds,0.0,0.0
257,Broome,GB,52.47,1.45,46.4,87,40,1.12,scattered clouds,0.0,0.0
258,Udachnyy,RU,66.42,112.4,-20.21,75,90,4.47,overcast clouds,0.0,0.0
259,Plunge,LT,55.91,21.84,46.4,81,90,3.36,overcast clouds,0.0,0.0
260,Namibe,AO,-15.19,12.15,77.34,84,40,4.52,scattered clouds,0.0,0.0
261,Haines Junction,CA,60.75,-137.51,-1.72,68,0,1.5,clear sky,0.0,0.0
262,Thompson,CA,55.74,-97.86,-7.61,63,20,9.17,few clouds,0.0,0.0
263,Riyadh,SA,24.63,46.72,80.6,39,71,12.75,broken clouds,0.0,0.0
264,Katy,US,29.79,-95.82,73.0,43,1,9.35,clear sky,0.0,0.0
265,Majene,ID,-3.54,118.97,76.01,86,97,3.47,overcast clouds,0.0,0.0
266,Pocone,BR,-16.26,-56.62,93.72,46,77,2.17,moderate rain,3.31,0.0
267,Sistranda,NO,63.73,8.83,26.6,63,75,14.99,broken clouds,0.0,0.0
268,Key West,US,47.93,-96.78,15.8,78,100,12.75,light snow,0.0,0.0
269,Liverpool,GB,53.41,-2.98,43.0,81,20,6.93,few clouds,0.0,0.0
270,Ostersund,SE,63.18,14.64,18.0,92,90,5.82,light snow,0.0,0.0
271,Sudak,UA,44.85,34.97,54.25,76,0,6.38,clear sky,0.0,0.0
272,Lompoc,US,34.64,-120.46,64.4,87,90,3.36,fog,0.0,0.0
273,Bainbridge,US,30.9,-84.58,68.0,31,1,4.7,clear sky,0.0,0.0
274,San Cristobal,HN,14.68,-86.92,76.08,67,88,5.7,overcast clouds,0.0,0.0
275,Najran,SA,17.54,44.22,75.2,25,0,4.7,clear sky,0.0,0.0
276,Chimbote,PE,-9.08,-78.59,74.21,57,39,11.21,scattered clouds,0.0,0.0
277,Hammerfest,NO,70.66,23.68,24.8,73,40,16.11,scattered clouds,0.0,0.0
278,Mushie,CD,-3.02,16.92,74.8,94,100,4.54,moderate rain,4.06,0.0
279,Salym,RU,60.06,71.48,3.04,95,0,1.59,clear sky,0.0,0.0
280,Santa Rosa,AR,-36.62,-64.29,87.17,20,55,17.13,broken clouds,0.0,0.0
281,Ust-Kuyga,RU,70.0,135.55,-9.28,93,100,0.76,overcast clouds,0.0,0.0
282,Hofn,IS,64.25,-15.21,42.8,75,90,33.33,shower rain,0.0,0.0
283,Kharhial,IN,20.28,82.77,71.46,80,1,2.48,clear sky,0.0,0.0
284,Half Moon Bay,US,37.46,-122.43,61.0,87,90,1.9,mist,0.0,0.0
285,Saint-Pierre,FR,48.95,4.24,44.6,93,90,3.36,overcast clouds,0.0,0.0
286,Yarmouth,CA,43.84,-66.12,48.2,61,90,16.11,overcast clouds,0.0,0.0
287,Morris,US,45.59,-95.91,21.2,79,99,16.11,light snow,0.0,0.0
288,Beringovskiy,RU,63.05,179.32,34.54,99,100,13.06,light rain,0.19,0.0
289,Msanga,TZ,-6.04,36.03,71.6,78,40,13.87,scattered clouds,0.0,0.0
290,Chifeng,CN,42.27,118.96,35.73,60,0,10.38,clear sky,0.0,0.0
291,Aswan,EG,24.09,32.9,84.2,35,11,11.41,few clouds,0.0,0.0
292,Vuktyl,RU,63.86,57.31,15.6,93,100,10.8,light snow,0.0,0.81
293,Huarmey,PE,-10.07,-78.15,79.12,46,25,10.07,scattered clouds,0.0,0.0
294,Medina Del Campo,ES,41.31,-4.92,43.0,86,20,2.24,few clouds,0.0,0.0
295,Slave Lake,CA,55.28,-114.77,6.76,88,77,8.66,broken clouds,0.0,0.0
